Altium Designer Pick and Place Locations
C:\Users\kevin.cotton\OneDrive - Cégep Limoilou\_Cours-TGE\243-436-Dev-Prod4-Certifications\laboratoires\Labo3-ContoleurManette-ESP32\243-436-ManCtrl-ESP32\.\Generate Files\Pick Place\243-436_MP_Man-ESP32.csv

========================================================================================================================
File Design Information:

Date:       23-03-26
Time:       12:12
Revision:   42434edc163d374d78124d2830d5d68c7e7f7d38
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"Q2","BC847BW-7-F","TopLayer","SOT323-IPC_B","13.5000","16.7500","0","TRANS NPN 45V 0.1A SC70-3"
"Q1","BC847BW-7-F","TopLayer","SOT323-IPC_B","9.0000","17.0000","90","TRANS NPN 45V 0.1A SC70-3"
"C9","CAP CER 100nF 50V 0402","TopLayer","C_1005[0402]","4.3000","21.7000","0","Capacitor type 1"
"C8","CAP CER 100nF 50V 0402","TopLayer","C_1005[0402]","6.7500","18.5000","180","Capacitor type 1"
"C3","CAP CER 100nF 50V 0402","TopLayer","C_1005[0402]","7.4500","25.7500","0","Capacitor type 1"
"C5","CAP CER 100nF 50V 0402","TopLayer","C_1005[0402]","15.7500","6.7500","270","Capacitor type 1"
"C1","CAP CER 10uF 25V X5R 0805","TopLayer","C_2012[0805]","8.2500","13.2500","270","Capacitor type 1"
"C2","CAP CER 4.7uF 6.3V X5R 0402","TopLayer","C_1005[0402]","7.5000","3.7500","180","Capacitor type 1"
"U2","CH340X","TopLayer","U_MSOP50P300X500-10(RM-10)_WO-TP","8.4502","21.0496","90","IC USB to Serial Port"
"Y1","DNP","TopLayer","Y_2012_2P","15.0000","20.7500","270","Crystal NDK 2.0x1.2mm  32.768 KHz"
"R6","DNP","TopLayer","R_1005[0402]","17.0000","20.2500","0","Resistor type 1"
"R5","DNP","TopLayer","R_1005[0402]","17.5000","22.0000","270","Resistor type 1"
"R3","DNP","TopLayer","R_1005[0402]","17.2500","8.7500","90","Resistor type 1"
"C6","DNP","TopLayer","C_1005[0402]","16.2500","22.7500","270","Capacitor type 1"
"C7","DNP","TopLayer","C_1005[0402]","16.2500","18.7500","90","Capacitor type 1"
"C4","DNP","TopLayer","C_1005[0402]","15.7500","8.2500","0","Capacitor type 1"
